                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.0153,                0.75343,                  1.259,                0.83972,                0.71089,                0.81548,                0.48924,                 1.4036,                0.88546,                  1.576,             0.00031373,             0.00031373,             0.00031373
                     84,                0.98281,                0.71047,                 1.2408,                0.78962,                0.77891,                0.82855,                0.49678,                 1.3906,                0.88734,                 1.5642,             0.00029723,             0.00029723,             0.00029723
                     85,                0.96298,                 0.7195,                 1.2257,                0.85048,                 0.7706,                0.84754,                0.52336,                 1.3799,                0.86237,                  1.549,             0.00028072,             0.00028072,             0.00028072
                     86,                0.96472,                0.69111,                 1.2344,                0.83736,                0.79535,                0.84512,                0.52218,                 1.3661,                0.86452,                  1.538,             0.00026422,             0.00026422,             0.00026422
                     87,                0.95593,                0.70295,                 1.2263,                0.84996,                0.74717,                0.83509,                0.50346,                 1.3864,                 0.8595,                 1.5632,             0.00024772,             0.00024772,             0.00024772
                     88,                0.92238,                0.67753,                 1.2129,                0.87015,                0.75469,                0.84589,                0.51798,                 1.3847,                0.85643,                  1.565,             0.00023121,             0.00023121,             0.00023121
                     89,                0.93741,                0.67544,                 1.2039,                0.84999,                 0.7619,                0.82513,                0.51016,                  1.381,                0.83527,                 1.5548,             0.00021471,             0.00021471,             0.00021471
                     90,                0.94016,                0.69231,                 1.2099,                0.86786,                0.75113,                0.84417,                 0.5255,                 1.3718,                0.87095,                 1.5416,             0.00019821,             0.00019821,             0.00019821
                     91,                0.89012,                 0.5739,                 1.1791,                0.86438,                0.78289,                0.85827,                0.53592,                 1.3726,                0.85104,                 1.5576,              0.0001817,              0.0001817,              0.0001817
                     92,                0.84683,                0.51947,                 1.1504,                0.87488,                0.77029,                0.84749,                0.53267,                 1.3772,                0.83536,                 1.5616,              0.0001652,              0.0001652,              0.0001652
                     93,                0.86461,                0.52208,                 1.1711,                0.84702,                0.75624,                0.84027,                0.53119,                 1.3714,                0.83202,                  1.558,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.8211,                0.49443,                 1.1458,                0.86834,                0.76361,                0.84562,                0.53848,                 1.3583,                0.81979,                 1.5568,             0.00013219,             0.00013219,             0.00013219
                     95,                0.82135,                0.49446,                 1.1436,                0.86284,                0.78914,                 0.8544,                0.54319,                  1.361,                0.80054,                 1.5563,             0.00011569,             0.00011569,             0.00011569
                     96,                0.80429,                0.48797,                 1.1276,                0.88981,                0.77637,                 0.8539,                0.53801,                 1.3469,                0.81594,                 1.5437,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.79708,                 0.4872,                 1.1219,                 0.8938,                0.77017,                0.85433,                0.54783,                 1.3512,                0.80129,                 1.5536,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.79711,                0.47759,                 1.1291,                0.89273,                0.75796,                0.85408,                0.54511,                  1.344,                0.82332,                 1.5471,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.78782,                0.48191,                 1.1212,                0.88451,                 0.7585,                0.84801,                0.54303,                 1.3441,                0.82196,                 1.5579,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.77156,                0.47121,                 1.1179,                0.87321,                0.75882,                0.84206,                0.54583,                 1.3399,                0.82583,                 1.5508,             3.3173e-05,             3.3173e-05,             3.3173e-05
